ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity
7.080446,196.658947,36966.853319,8.986784,294.315733,530.052919,13.822057,85.777222,2.664946
8.014183,244.120098,30566.767504,7.714447,307.987458,309.930428,22.641598,61.578461,3.417076
6.854947,149.853487,16203.090697,5.734804,375.718660,350.344708,11.718895,75.498737,4.938999
7.714313,191.692640,19789.636080,7.856557,340.326314,377.926368,18.917027,58.692204,4.425134
6.512901,169.217480,25151.411574,4.613311,375.612318,296.074382,15.088700,74.075926,4.404040
7.021617,203.201197,12352.811105,6.845744,380.804054,435.674393,14.507013,68.233386,3.855636
6.967861,183.933476,13401.044394,6.457687,371.788364,433.239429,14.584231,66.029156,4.893215
7.397544,184.840925,19797.108543,8.422000,387.190304,428.414784,13.143444,62.337976,3.947138
7.330197,159.803720,14884.339958,9.194575,411.100692,404.195912,17.375739,51.153972,2.884715
4.443851,240.167901,24070.263651,9.768406,338.052437,533.968647,11.877582,69.036523,5.038119
6.418203,173.446214,19617.308494,7.396472,321.865250,391.667466,18.453951,46.345864,2.670977
7.272362,229.087141,16404.759485,7.589754,272.276912,518.609480,17.878956,67.104417,3.996581
7.130099,275.679780,9480.617796,8.415948,295.618838,383.455068,18.322879,94.416301,1.986192
3.940125,163.171653,25911.321680,4.138540,371.967180,487.985185,17.751705,63.612403,3.478005
6.761414,216.532498,32156.819439,8.723064,343.601104,526.325214,20.314691,60.521593,4.350207
9.999807,215.108978,33462.034221,6.194122,365.895338,373.936756,13.792034,77.872102,2.659978
9.271579,274.021391,38886.387679,8.045991,244.086257,504.616793,15.981068,62.320048,3.549608
6.150488,240.888422,6342.502843,9.609896,421.343186,354.392526,12.340384,83.238661,3.551656
7.482791,186.093432,19621.325105,8.171865,369.190878,475.211460,12.127254,105.165799,4.094746
5.368126,190.937979,32619.312975,8.098839,351.358134,435.666469,11.983635,107.900842,2.004143
6.626012,112.299485,25839.894104,7.658747,312.247043,327.248079,19.409147,85.785103,4.194313
8.581043,153.709092,19970.434294,7.661687,312.885127,520.808359,14.781584,74.127793,2.883145
5.744068,173.850882,28391.998185,7.017330,355.461589,336.061803,16.895180,65.447362,3.171655
6.093092,208.908022,21456.604422,9.600683,263.453490,459.015554,19.296765,31.007235,4.523558
5.365192,238.291212,16262.939246,7.507931,255.544678,393.533879,12.465043,27.095703,3.180798
5.189414,171.238926,12289.900922,10.786500,301.230848,501.559725,12.284334,54.473935,4.876273
7.115895,193.706745,18463.883662,4.924389,319.056951,369.534034,14.841580,54.437494,3.736021
7.420641,212.735585,18463.722127,6.727919,355.971495,523.602714,12.086675,44.980102,5.423767
6.664003,199.588718,15902.945276,5.257789,346.584556,347.353336,15.989419,61.156575,2.227728
6.420640,180.293000,26034.528198,9.710619,308.957886,473.064824,17.724396,57.596636,3.139940
7.967345,180.531707,19384.037432,9.868238,325.496848,386.055331,11.265127,67.272207,4.069359
9.809996,139.118703,16819.423179,7.791982,361.028039,438.179247,10.951138,34.537409,5.538201
8.315959,221.270223,16123.304451,9.475801,348.177331,501.673983,22.159747,75.364974,2.760213
7.886591,213.052591,38852.029636,11.170789,281.700777,326.115350,10.385172,64.662501,4.589984
6.867001,184.248496,14464.115547,6.759352,371.283819,497.703775,14.782861,73.433479,3.484121
10.209956,148.379235,18413.096820,7.407967,390.619013,410.568172,15.103624,89.178485,4.112598
7.701033,121.575139,16978.926829,6.812416,354.250252,368.224575,12.997263,69.260209,3.395483
8.082148,185.932419,28407.661026,7.605421,381.761884,402.658022,12.830646,86.979724,3.373485
7.581688,180.749140,11989.246243,4.977307,328.176978,617.883513,13.561253,39.215917,4.457282
6.204429,211.640958,35439.687840,6.236836,314.131317,552.462792,8.660869,56.350096,4.106808
8.805178,157.231982,4728.650671,8.848262,356.773638,299.279775,9.439925,61.640597,5.176205
6.335683,164.070372,26594.352076,7.381256,338.429462,607.102573,14.929150,113.048886,4.578861
6.709336,226.427586,8238.290038,7.692413,289.921380,284.774459,11.868480,51.875207,4.074387
6.001382,186.884422,22554.830087,8.391883,331.214867,444.891044,4.466772,65.954766,4.036720
6.629985,195.700380,21495.537558,6.546464,363.691949,335.804710,11.395098,66.165224,2.534499
6.014540,205.482940,23268.243081,9.035769,283.340368,371.403475,16.863668,73.017793,2.686069
5.669699,199.662637,9544.862671,8.808247,343.485533,378.120393,21.780373,80.488274,1.910117
6.800119,242.008082,39143.403329,9.501695,187.170714,376.456593,11.432466,73.777275,3.854940
7.617014,214.404363,29818.095042,6.508853,298.351850,494.945537,13.310224,70.048007,3.800553
5.487876,179.206983,20162.018618,5.211430,305.264142,510.609385,12.588475,58.861558,4.223576
7.269652,155.157520,31161.368388,3.181183,244.795198,506.010135,17.385515,73.115053,3.789237
8.142660,220.630972,20111.225948,7.446877,354.897131,366.802484,19.721288,53.719366,4.617093
7.667521,163.345819,25035.271042,8.258578,329.597091,431.867757,16.078500,89.093650,4.618165
7.159398,171.816105,28954.801012,5.817090,357.328759,530.526411,18.117042,79.094440,3.254926
7.833361,249.340053,13394.731607,8.341670,393.137872,443.629123,10.983344,76.645734,4.270973
6.306864,220.969980,22418.908189,7.153364,283.975993,350.909227,19.861382,61.836185,4.619173
8.378108,198.511213,28474.202580,6.477057,319.477187,499.866994,15.389083,35.221200,4.524693
9.370697,157.719364,15106.308647,7.762862,316.391974,424.915677,15.645998,108.213981,4.380797
6.908853,184.944232,16965.314109,6.404354,351.345326,434.350219,11.812942,77.371361,4.693949
6.978664,183.242796,23114.446076,6.500825,323.155777,470.078705,16.082847,65.995717,4.766943
