ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity
8.064170,209.839333,8712.002588,8.591510,355.443721,338.848158,18.721312,106.243066,3.246077
6.427721,166.850237,12215.409083,7.696751,376.282617,352.745370,20.130483,66.735044,2.904453
6.528479,176.939676,18533.337828,6.083268,336.296413,491.477924,13.531264,96.944104,4.063276
6.730428,183.915296,9258.767076,8.005173,345.071954,320.667865,12.066808,56.437485,3.961942
7.665188,209.997246,22993.729350,5.543901,343.494220,417.738988,7.750607,63.551822,2.707129
5.098967,197.142637,21682.754771,7.755905,292.251426,424.666112,10.927590,51.220960,4.333667
9.918717,199.181251,21470.278305,6.799841,329.178429,430.507707,15.966043,59.292273,3.385508
7.595229,188.373282,32869.474408,6.745588,365.208692,326.627131,13.883329,73.438220,3.497604
5.907078,213.471081,41839.456449,7.924762,312.329947,357.258970,15.598965,54.421879,4.296480
7.301903,224.467802,23565.178404,7.554047,280.129485,487.333321,8.524864,68.940193,3.430699
8.640886,201.568724,26473.713239,6.967095,352.306586,309.983287,17.665083,68.664923,5.263102
5.609025,271.630824,26955.330183,6.772753,296.651564,443.872558,17.048683,72.827392,3.354890
7.793039,257.657739,17398.385843,8.271246,251.383944,439.701600,9.557031,54.235433,3.389270
7.689358,221.356885,30253.851103,6.269309,320.478106,529.746529,17.973277,84.696366,4.978556
8.297783,183.614121,20316.426685,7.108809,322.095849,295.653957,13.503197,62.230134,4.239221
5.808239,195.514516,43110.503721,7.368819,281.918918,325.831360,15.047019,51.294792,4.819064
6.962994,206.817887,24036.593827,7.691454,356.632561,552.273055,8.574691,88.620139,4.760382
8.927078,241.875105,22821.254377,8.549738,367.975558,380.197200,10.859287,75.857068,4.601861
4.487517,199.051403,36860.468899,9.751561,338.049428,390.566945,8.123470,75.668785,2.765722
8.159667,215.648216,17068.298863,8.769622,319.253201,459.541159,14.192544,60.373722,2.957195
9.149734,230.561899,30468.641826,7.667655,337.557972,539.625037,16.133499,58.134527,5.436819
6.777506,207.050748,15228.912909,6.182409,321.399404,523.241732,12.683724,86.165971,4.263180
8.783597,199.930278,19471.465438,7.415406,319.737009,324.937029,16.311696,74.570581,3.470885
5.596730,229.295098,44652.363872,6.500953,323.999049,424.257013,12.361827,40.412098,3.826158
8.013516,225.156452,20375.668274,7.837398,308.594810,382.014249,12.666016,78.767052,4.444901
4.964070,168.283365,17694.574833,9.725321,333.639511,353.069939,17.293732,67.252514,4.761701
6.277742,149.563282,15751.449150,8.257751,317.501440,605.398375,15.218378,82.703470,5.255012
5.352566,150.495214,27795.732041,5.464058,445.938391,422.422509,16.144510,78.374845,4.779187
6.538207,214.992866,12330.406568,7.300092,389.817036,465.352665,22.089402,24.532773,3.426266
8.149437,220.203735,23978.107683,7.384126,360.414005,461.804548,13.364677,103.380210,4.949257
6.376408,182.121038,33046.727606,5.351533,362.352143,350.236326,7.592516,66.225674,5.404046
4.691438,200.889406,32182.262318,8.571650,364.746786,516.851623,12.404439,85.026227,2.730792
7.760189,206.208834,34250.163925,7.930382,299.131598,347.180780,19.350765,80.621872,4.590528
7.940713,197.049965,10762.938632,7.515815,384.791134,406.116784,16.237265,74.611653,2.990151
8.900865,211.306812,9592.151333,8.863272,348.437820,333.775327,18.267951,68.333170,4.518751
8.322987,207.252462,28049.646283,8.827061,297.813085,358.725869,18.709273,60.911420,4.052136
7.340171,210.118813,12810.423160,8.867294,309.661578,412.706558,12.389229,73.513321,3.919140
7.183109,225.116079,5097.825850,6.081664,361.631381,294.991225,5.537059,81.453941,4.006425
6.641501,198.884409,27867.486757,7.327729,318.408397,573.723762,13.191720,81.551114,4.694311
3.664711,201.097316,28102.756625,5.682035,330.023531,291.148449,17.470631,75.101801,3.316158
5.899937,205.913786,30379.359441,9.446148,312.283210,512.336528,6.306055,55.065243,3.858979
8.107244,228.171859,18364.831418,6.185948,246.942611,369.903199,14.613423,101.351525,4.688271
10.811290,209.103050,11848.228270,10.141060,349.923229,393.186446,15.474876,66.030317,4.416184
8.560349,244.796705,14254.661316,7.453900,315.971147,500.586608,18.228749,57.365541,2.939213
