priority,NCommentT,NActor,meanCommentSize,ticketCleanedBodyLen,nticketsByCreatorOpen,nClosedticketsByCreatorOpen,nCommentsByCreator,NCommentByActorsT,NticketsCreatedInProject,NticketsCreatedInProjectT,NticketsCreatedInProjectClosed,NticketsCreatedInProjectClosedT,NActivityInProject,NActivityInProjectT,chainLength,longTimeHold,lateTriageDays,InitialActivityCount,InitialActionCount,recentActionCount,recentActivityCount,activitysequence,projectCoverage
1,1,3,25.000000,150,14,14,0,0,33,8,33,8,828,158,1,0,0,0.466667,0.000000,0.000000,0.066667,0.063689,0.004144
1,11,7,19.000000,49,2,2,6,8,17,3,16,3,627,98,1,0,0,1.466667,0.133333,0.200000,1.466667,0.478170,0.013486
2,2,5,10.500000,156,90,86,337,87,2,0,2,0,54,0,2,1,0,0.636364,0.000000,0.000000,0.272727,0.287283,0.970198
2,18,6,23.166667,59,0,0,0,0,9,0,9,0,256,0,1,0,3,1.545455,0.272727,0.181818,1.090909,0.051059,0.058223
1,12,8,17.000000,49,1,1,13,0,47,12,47,12,1349,295,1,0,14,1.200000,0.066667,0.466667,2.000000,0.043204,0.019114
1,2,3,27.500000,35,0,0,0,0,0,0,0,0,0,0,0,0,6,0.800000,0.000000,0.066667,0.533333,0.034870,0.004129
0,0,2,0.000000,163,4,4,11,13,0,0,0,0,0,0,0,0,0,0.600000,0.000000,0.000000,0.000000,0.878966,0.032966
1,1,4,117.000000,104,0,0,0,0,59,11,59,11,1789,378,0,0,19,0.266667,0.000000,0.000000,0.066667,0.815660,0.357736
0,7,6,59.142857,121,0,0,0,0,139,37,139,37,4113,963,2,1,0,3.000000,0.400000,0.200000,2.400000,0.104567,0.323325
0,1,4,8.000000,403,8,8,0,0,18,15,17,14,435,376,0,0,0,0.800000,0.000000,0.200000,2.000000,0.609170,0.150463
2,0,1,0.000000,77,145,144,527,136,4,1,4,1,103,44,0,0,0,0.090909,0.000000,0.000000,0.000000,0.221346,0.409630
1,0,4,0.000000,439,0,0,0,68,3,2,3,2,63,36,0,0,0,0.200000,0.066667,0.000000,0.066667,0.068069,0.130892
1,1,5,21.000000,295,1,1,1,116,1,0,1,0,47,0,0,0,0,0.333333,0.066667,0.000000,0.066667,0.891539,0.412437
0,4,7,23.750000,336,4,0,4,31,22,18,22,18,680,569,2,2,0,3.800000,0.200000,0.400000,3.800000,0.209992,0.004128
1,5,5,16.000000,62,3,3,37,12,9,3,9,3,334,155,0,0,0,0.933333,0.066667,0.000000,0.400000,0.318692,0.076894
1,3,4,54.666667,129,0,0,0,0,20,4,20,4,393,91,1,0,0,0.733333,0.066667,0.000000,0.266667,0.050839,0.016451
0,3,4,9.000000,158,2,1,10,3,21,4,21,4,649,101,0,0,2,1.200000,0.200000,0.400000,2.000000,0.117927,0.243265
0,8,4,31.625000,173,3,3,99,36,122,19,122,19,3633,525,0,0,0,3.000000,0.200000,0.000000,1.600000,0.526404,0.098930
1,1,4,14.000000,158,0,0,0,98,1,1,1,1,13,13,1,0,0,0.733333,0.266667,0.000000,0.066667,0.723510,0.052438
0,4,4,15.750000,145,0,0,0,0,2,0,2,0,27,0,1,0,0,2.200000,0.000000,0.000000,1.000000,0.778692,0.961806
0,7,6,25.000000,127,2,2,0,0,466,77,466,77,12321,1900,0,0,0,3.000000,0.400000,0.000000,1.600000,0.653796,0.235612
0,0,2,0.000000,109,0,0,66,26,1,0,1,0,207,0,0,0,0,0.600000,0.000000,0.200000,1.200000,0.284156,0.004205
0,0,4,0.000000,263,9,9,25,106,4,0,4,0,109,0,1,0,0,2.200000,0.000000,0.000000,0.800000,0.098888,0.196468
1,3,2,40.666667,92,0,0,0,0,39,16,39,16,1225,409,0,0,0,0.666667,0.133333,0.000000,0.200000,0.503661,0.098393
