parallel_changed_file_num,commit_num,file_added,file_removed,file_renamed,file_modified,file_copied,line_added,line_removed,developer_num,duration,commit_density,add_frequency,bug_frequency,change_frequency,delete_frequency,document_frequency,feature_frequency,fix_frequency,improve_frequency,refactor_frequency,remove_frequency,update_frequency,use_frequency,messages_min,messages_max,messages_mean,messages_median
1.000000,102.000000,-775.000000,-90.000000,0.000000,-468.000000,0.000000,-171656.000000,-19136.000000,-28.000000,1973.000000,2.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,2.000000,0.000000,0.000000,45.000000,93.000000,71.200000,66.000000
0.000000,2.000000,0.000000,0.000000,0.000000,2.000000,0.000000,1.000000,2.000000,1.000000,-16.000000,4.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,59.000000,59.000000,59.000000,59.000000
0.000000,4.000000,-1.000000,0.000000,0.000000,-32.000000,0.000000,-1540.000000,-1095.000000,0.000000,13.000000,-13.000000,3.000000,0.000000,1.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,1.000000,0.000000,16.000000,82.000000,41.652174,42.000000
0.000000,9.000000,-3.000000,0.000000,0.000000,-9.000000,0.000000,-85.000000,-5.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17.000000,17.000000,17.000000,17.000000
0.000000,9.000000,-3.000000,-70.000000,0.000000,-142.000000,0.000000,-3292.000000,-4576.000000,0.000000,-2.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,41.000000,96.000000,64.000000,63.000000
0.000000,76.000000,-46.000000,-168.000000,0.000000,-1350.000000,0.000000,-25344.000000,-44703.000000,-11.000000,158.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.000000,54.000000,39.428571,36.000000
0.000000,114.000000,-99.000000,-9.000000,0.000000,-336.000000,0.000000,-9874.000000,-8536.000000,-20.000000,88.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,0.000000,0.000000,2.000000,7.000000,2.000000,20.000000,73.000000,43.681818,45.500000
0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,-170.000000,3.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,4.000000,0.000000,0.000000,0.000000,1.000000,1.000000,12.000000,83.000000,45.222222,44.000000
0.000000,237.000000,37.000000,7.000000,0.000000,585.000000,0.000000,13007.000000,5585.000000,36.000000,-8562.000000,21.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.000000,40.000000,40.000000,40.000000
0.000000,3.000000,-4.000000,0.000000,0.000000,-1.000000,0.000000,-346.000000,2.000000,-1.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,41.000000,78.000000,55.333333,47.000000
0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,3.000000,0.000000,1.000000,-23.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,6.000000,1.000000,18.000000,72.000000,50.000000,58.500000
0.000000,6.000000,0.000000,0.000000,0.000000,-9.000000,0.000000,-47.000000,-47.000000,-1.000000,67.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.000000,20.000000,48.000000,29.500000,25.000000
0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,-100.000000,38.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,3.000000,0.000000,10.000000,46.000000,29.777778,26.000000
0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,4.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,2.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,162.000000,76.000000,68.000000
1.000000,109.000000,-39.000000,-29.000000,0.000000,-486.000000,0.000000,-8059.000000,-3041.000000,-18.000000,225.000000,-8.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,35.000000,57.000000,47.400000,49.000000
0.000000,6.000000,2.000000,0.000000,0.000000,9.000000,0.000000,247.000000,107.000000,2.000000,-170.000000,-21.000000,3.000000,0.000000,1.000000,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,4.000000,0.000000,3.000000,14.000000,79.000000,44.523810,47.000000
0.000000,32.000000,-7.000000,-1.000000,0.000000,-126.000000,0.000000,-4165.000000,-1233.000000,-6.000000,144.000000,-1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,35.000000,35.000000,35.000000,35.000000
0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,2.000000,2.000000,1.000000,-14.000000,-4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.000000,43.000000,28.500000,32.000000
1.000000,24.000000,0.000000,0.000000,0.000000,-30.000000,0.000000,-117.000000,-68.000000,-5.000000,34.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.000000,32.000000,19.500000,19.500000
0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,-144.000000,1.000000,3.000000,0.000000,1.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,2.000000,10.000000,11.000000,138.000000,43.681818,41.500000
0.000000,54.000000,-354.000000,-48.000000,0.000000,-1227.000000,0.000000,-42339.000000,-13456.000000,-1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.000000,16.000000,70.000000,45.000000,49.000000
0.000000,428.000000,5910.000000,407.000000,0.000000,39996.000000,0.000000,1008844.000000,435970.000000,46.000000,-71.000000,-22.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,10.000000,0.000000,0.000000,1.000000,1.000000,0.000000,10.000000,69.000000,38.080000,44.000000
0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,3.000000,0.000000,1.000000,-320.000000,-86.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,27.000000,102.000000,54.500000,53.500000
