ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity
8.725393,213.610372,18862.673054,8.670127,324.027106,396.229010,20.055737,96.591460,4.565542
5.198225,173.119821,11178.403544,5.893458,343.209876,390.065616,14.160899,65.433008,3.807318
11.898078,228.132673,8296.550611,9.899637,346.649750,500.169210,15.486862,63.529460,3.024968
8.313774,196.547696,11310.958313,5.310815,364.405067,607.915848,8.457142,76.694580,4.290072
8.378108,198.511213,28474.202580,6.477057,319.477187,499.866994,15.389083,35.221200,4.524693
8.145632,218.440804,31350.275765,5.507650,334.644887,376.669878,14.886305,52.415775,4.307548
8.029182,158.040398,19663.469428,8.433448,283.270495,431.304716,20.696198,59.972929,4.388551
7.754044,193.449854,19019.279505,8.107067,377.990009,597.486041,8.939818,45.721308,3.760298
5.251354,167.924336,34768.933420,4.023081,377.143489,315.536105,10.429159,70.593387,4.072252
6.618011,233.661636,19598.860740,4.701049,432.556385,401.669791,11.766146,73.191921,4.437696
6.013161,218.843256,21573.747571,9.295852,321.168313,444.276635,14.744347,62.443239,3.455623
7.337924,188.799302,24266.517893,6.844850,326.254701,500.386469,13.373369,65.909057,3.935514
5.836105,277.065713,17711.487774,3.458192,400.167599,456.732862,17.552294,72.059866,3.738991
6.984406,181.707343,18194.545310,8.263804,371.146458,201.619737,11.267398,68.192658,3.406210
4.292967,212.808645,30434.269118,8.630313,333.482540,382.922363,15.779922,39.775513,2.804924
7.851926,235.338312,14763.580113,7.741975,338.603322,505.665639,11.863370,49.598381,5.204044
6.395359,133.834229,23827.275015,5.127747,266.908428,573.400295,9.833875,95.026609,4.191218
6.453065,178.998245,23129.460178,6.354508,326.853185,371.882763,13.178301,41.525863,3.440859
6.272475,190.200713,14642.205540,9.734513,399.052941,448.568260,16.557177,74.435389,4.612536
6.105140,249.141391,45249.449033,7.369360,338.771307,314.965090,11.251778,88.657477,3.103090
6.436444,192.995665,19579.389546,7.640874,314.922739,379.675367,12.897049,75.839132,3.415851
7.064789,188.391725,20567.145930,7.443243,360.322976,656.924128,16.274831,84.827183,4.401628
3.434856,185.342961,22690.244404,8.150954,309.217651,398.370130,10.034950,55.947322,5.389510
5.264284,142.534126,25556.053128,6.600787,416.262799,443.759231,7.491362,72.879848,5.100240
4.487517,199.051403,36860.468899,9.751561,338.049428,390.566945,8.123470,75.668785,2.765722
7.139428,179.234979,19862.811257,8.111958,337.947095,364.523151,17.384471,88.361846,3.771596
7.291888,127.544297,27784.048484,9.754476,247.335412,439.649329,17.285042,59.556330,5.328713
5.090035,174.266357,34094.057177,6.741909,376.663608,526.361082,17.107563,48.546257,4.838862
8.522568,208.133000,16446.328050,6.729775,372.503843,346.374598,12.002178,80.758618,3.358284
